Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
165;Merimetsot;Cormorants;Phalacrocoracidae;Merimetsolaji;Phalacrocorax (släktet);PHAAXSP;Phalacrocorax sp;S;Phalacrocorax (genus);Skarvar;
166;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso;Storskarv;PHACAR;Phalacrocorax carbo;A;Great Cormorant;Skarvar;
167;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso (alalaji carbo);Storskarv (rasen carbo);PHACARCAR;Phalacrocorax carbo carbo;R;Great Cormorant (subspecies carbo);Skarvar;
168;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso (alalaji sinensis);Storskarv (rasen sinensis);PHACARSIN;Phalacrocorax carbo sinensis;R;Great Cormorant (subspecies sinensis);Skarvar;
169;Merimetsot;Cormorants;Phalacrocoracidae;Karimetso;Toppskarv;PHAARI;Phalacrocorax aristotelis;A;European Shag;Skarvar;
170;Pelikaanit;Pelicans;Pelecanidae;Pelikaanilaji;Pelecanus (släktet);PELECSP;Pelecanus sp;S;Pelecanus (genus);Pelikaner;
171;Pelikaanit;Pelicans;Pelecanidae;Pelikaani;Vit pelikan;PELONO;Pelecanus onocrotalus;B;Great White Pelican;Pelikaner;
172;Haikarat;Herons, Bitterns;Ardeidae;Kaulushaikaralaji;Botaurus (släktet);BOTSP;Botaurus sp;S;Botaurus (genus);Härar;
173;Haikarat;Herons, Bitterns;Ardeidae;Kaulushaikara;Rördrom;BOTSTE;Botaurus stellaris;A;Eurasian Bittern;Härar;
174;Haikarat;Herons, Bitterns;Ardeidae;Pikkuhaikara;Dvärgrördrom;IXOMIN;Ixobrychus minutus;A;Little Bittern;Härar;
175;Haikarat;Herons, Bitterns;Ardeidae;Yöhaikara;Natthäger;NYCNYC;Nycticorax nycticorax;A;Black-crowned Night Heron;Härar;
176;Haikarat;Herons, Bitterns;Ardeidae;Rääkkähaikaralaji;Ardeola (släktet);ARDEOSP;Ardeola sp;S;Ardeola (genus);Härar;
177;Haikarat;Herons, Bitterns;Ardeidae;Rääkkähaikara;Rallhäger;ARDRAL;Ardeola ralloides;A;Squacco Heron;Härar;
